node_index,x_m,y_m,z_m,zone_id,response_external_C_per_1SD,response_meeting_C_per_1SD,response_server_C_per_1SD,response_working_C_per_1SD
83,3.75,0.25,0.5,4,0.5114812401492113,1.172138350944681,2.1390630091617577,1.2371781338004626
84,3.75,0.75,0.5,4,0.49750586680489495,1.179321111545459,2.127451973165473,1.2519049425010371
85,3.75,1.25,0.5,4,0.49052141879318156,1.1701977484992983,2.106981253496179,1.2493146980855425
86,3.75,1.75,0.5,4,0.49640671007389425,1.1819310266185572,2.1021023151234317,1.2421795340238415
87,3.75,2.25,0.5,4,0.4906310664544569,1.182006840006266,2.055865659463486,1.2344345922171713
88,3.75,2.75,0.5,4,0.4728848719857051,1.2278442837039873,2.057892883090906,1.2466178095920635
89,3.75,3.25,0.5,4,0.4667232741941898,1.2309903655842676,2.0824369856633247,1.2522376047656223
90,3.75,3.75,0.5,4,0.4298508772549578,1.209780148476108,2.0625920715421855,1.2570583179822283
91,3.75,4.25,0.5,1,0.43991782393221573,1.237942104243828,2.1676419936375524,1.385562089273688
92,3.75,4.75,0.5,1,0.4301020623910683,1.2691878696003351,2.166588058422829,1.4105168812942495
93,3.75,5.25,0.5,1,0.4276820865386703,1.2872113378573904,2.11501553771383,1.4186312019269303
94,3.75,5.75,0.5,1,0.4076005398284825,1.2860503930899319,2.0879675528919144,1.410144382196448
95,3.75,6.25,0.5,1,0.37266057118365015,1.2710987466659893,2.076979140441986,1.3995272830961074
96,3.75,6.75,0.5,1,0.35304952183385957,1.2518900526223549,2.05565697017171,1.400825771692768
97,3.75,7.25,0.5,1,0.35619784991458286,1.2521072107445625,2.046003744344414,1.3933656233537461
98,3.75,7.75,0.5,1,0.3864292944973823,1.2475015424013958,2.0463055060819038,1.4011213735453438
99,3.75,8.25,0.5,1,0.39890111489432795,1.2786948849187088,2.0248631495502227,1.3990211703938535
100,3.75,8.75,0.5,1,0.39696313944127426,1.2263977268598587,1.9855380479861902,1.389810235731501
101,4.25,0.25,0.5,4,0.527705726131827,1.1738005530638087,2.185913440903516,1.2131566948281045
102,4.25,0.75,0.5,4,0.4926462734304542,1.175432378892795,2.1650448477373843,1.2296001882433478
103,4.25,1.25,0.5,4,0.4792331034955799,1.180809874061646,2.142703565545926,1.2431113492920955
104,4.25,1.75,0.5,4,0.49179275833215,1.194796563096548,2.1367868298598305,1.2365591490522863
105,4.25,2.25,0.5,4,0.4949314607840585,1.1757046584868007,2.0756560417000935,1.1866910187822886
106,4.25,2.75,0.5,4,0.47743581884934777,1.224756673141501,2.0581011547714168,1.2160235521742808
107,4.25,3.25,0.5,4,0.48344759839801915,1.2506034424894585,2.0693925929227555,1.22963905187587
108,4.25,3.75,0.5,4,0.44198528131755827,1.2545035592564078,2.0544849811178496,1.2145603313880569
109,4.25,4.25,0.5,4,0.38243674337659045,1.2206391719725758,2.0143616983463017,1.1790758097758576
110,4.25,4.75,0.5,4,0.41310509938439033,1.2208547032411985,2.1082221614220127,1.242862879343449
111,4.25,5.25,0.5,4,0.4573348074077333,1.2941523087577835,2.1334205436193843,1.2947520941133546
112,4.25,5.75,0.5,4,0.43436489450347193,1.3141473950605238,2.111451343553654,1.319010297823842
113,4.25,6.25,0.5,1,0.39661298480413915,1.309451865868907,2.084053388809013,1.3238533967540684
114,4.25,6.75,0.5,1,0.3814015579249682,1.310059639368667,2.057026934576492,1.3327360590662973
115,4.25,7.25,0.5,1,0.3824905923496209,1.3118548635529625,2.034547521542123,1.333493983239423
116,4.25,7.75,0.5,1,0.39578394117881727,1.3049721039096063,2.0318453121182283,1.3272707028629376
117,4.25,8.25,0.5,1,0.40713772784034363,1.3095951458770048,2.0171114941053423,1.3205597839143304
118,4.25,8.75,0.5,1,0.39589615891043695,1.2687488817964412,1.9819736373642711,1.3350614840099664
119,4.75,0.25,0.5,4,0.5401315617854926,1.1645293253575033,2.2031054361587183,1.210634068608361
120,4.75,0.75,0.5,4,0.48023232118805725,1.1715517164363238,2.179343018283257,1.218594827846175
121,4.75,1.25,0.5,4,0.4738296100601522,1.190127341284344,2.169927828305499,1.2266777736312298
122,4.75,1.75,0.5,4,0.47634931754370896,1.201348075169643,2.1567714468546257,1.2278850921918312
123,4.75,2.25,0.5,4,0.48130424304830344,1.145726191066712,2.0985619408507934,1.1800406474063971
124,4.75,2.75,0.5,4,0.46871614171989545,1.205346761014009,2.064180166174753,1.2108667720511042
125,4.75,3.25,0.5,4,0.48451744457515156,1.2425688882092722,2.065457033532736,1.2248068073526994
126,4.75,3.75,0.5,4,0.4755267001501246,1.2449853472598005,2.050814102567645,1.2218290183319735
127,4.75,4.25,0.5,4,0.4128057192425116,1.264228311163713,2.0110716363007586,1.210491397345575
128,4.75,4.75,0.5,4,0.39211179697099763,1.205682720384726,1.9750028287623447,1.1780846977216488
129,4.75,5.25,0.5,4,0.4369607350955043,1.2250124522087755,2.053436822724727,1.2279006118890947
130,4.75,5.75,0.5,4,0.42360551189297807,1.2831706410427666,2.074210920292979,1.2547018607108609
131,4.75,6.25,0.5,1,0.39457634362081384,1.321661403967028,2.042049484019432,1.304178238724075
132,4.75,6.75,0.5,1,0.3809019609213065,1.3471645415062743,2.0121685864079804,1.3310177955023526
133,4.75,7.25,0.5,1,0.3770501186749511,1.354466190849551,1.9979438007493264,1.3294758080047837
134,4.75,7.75,0.5,1,0.3852642344831232,1.3500541005111018,2.0037289879912485,1.3172680543858162
135,4.75,8.25,0.5,1,0.3913035197575286,1.3382097843914948,1.9987225066146892,1.2967613803141718
136,4.75,8.75,0.5,1,0.3902404917346225,1.29034247706119,1.969731236394798,1.2915793291073747
137,5.25,0.25,0.5,4,0.5372140131143696,1.1639916151766074,2.196051771301158,1.2078634901883663
138,5.25,0.75,0.5,4,0.4775525372912254,1.1667031623112187,2.1860006237259624,1.2077300884780975
139,5.25,1.25,0.5,4,0.47375866863561233,1.1866077845670344,2.1935198416499695,1.2211785477518406
140,5.25,1.75,0.5,4,0.46122932334995026,1.2008472722331278,2.1835242928232677,1.2183895920365022
141,5.25,2.25,0.5,4,0.45757711122957223,1.144983553099929,2.1414408173769623,1.180953087668118
142,5.25,2.75,0.5,4,0.4533439407938147,1.1869516942776555,2.092320631319728,1.230950078390017
143,5.25,3.25,0.5,4,0.4674461659079911,1.232998634505564,2.0752875575951077,1.2420297040321047
144,5.25,3.75,0.5,4,0.462485591273967,1.216997095351769,2.0710722438255442,1.2358656897051319
145,5.25,4.25,0.5,4,0.4462936723670353,1.2447801666874767,2.082010601111499,1.266142127648749
146,5.25,4.75,0.5,4,0.41870155196137315,1.2207367142627101,2.0127798257953877,1.224693807600881
147,5.25,5.25,0.5,4,0.40768180774996315,1.1706866234239668,1.9934630977025634,1.1970273724349738
148,5.25,5.75,0.5,1,0.3973884579226304,1.2597192417418,1.9367914017866272,1.2426760899236633
149,5.25,6.25,0.5,1,0.3834033621476635,1.338370411923291,1.9211625897699474,1.2960356564547622
150,5.25,6.75,0.5,1,0.3579606559784775,1.3741709491309295,1.9322443833265495,1.3185591090384317
151,5.25,7.25,0.5,1,0.3556437844113886,1.388663187489829,1.9477255282974,1.314699616515115
152,5.25,7.75,0.5,1,0.372343737514701,1.3867022153913466,1.971761154971952,1.3017790053331595
153,5.25,8.25,0.5,1,0.380532061379367,1.364788928426403,1.9813469256194105,1.27440169761069
154,5.25,8.75,0.5,1,0.3880038022952719,1.3039930578586942,1.950191516913659,1.267541439461963
155,5.75,0.25,0.5,4,0.5233247606584976,1.171425670097989,2.174554729052523,1.1974574843993966
156,5.75,0.75,0.5,4,0.47741978045214967,1.1674175483134617,2.179732768299764,1.1933405010050815
157,5.75,1.25,0.5,4,0.4782926893110203,1.1837971869472184,2.192132038108718,1.2101294077417994
158,5.75,1.75,0.5,4,0.45726821757826336,1.1979172215519516,2.1915721062823854,1.2095408941710482
159,5.75,2.25,0.5,4,0.44741796397158845,1.1624421671697915,2.168340067410997,1.1671485892457623
160,5.75,2.75,0.5,4,0.44582170172024554,1.181675260916977,2.120474133852561,1.2236830643428014
161,5.75,3.25,0.5,4,0.4614005922182973,1.2224203651298795,2.093836319876791,1.2461256373086693
162,5.75,3.75,0.5,4,0.45805319156952046,1.2057126142536483,2.087502169310749,1.2238444021553552
163,5.75,4.25,0.5,4,0.45083424567859604,1.209922625109292,2.0996367461400514,1.238352088240337
164,5.75,4.75,0.5,4,0.45349093228634396,1.2268076692970242,2.085063211203796,1.234369232652493
165,5.75,5.25,0.5,4,0.44167104631947907,1.1697334750539305,2.0206142344615095,1.1849485992331246
166,5.75,5.75,0.5,1,0.3724827071043018,1.495029012255295,1.9134300663457164,1.2716458183925754
167,5.75,6.25,0.5,1,0.39626523443461914,1.4021345573109079,1.8850046430768155,1.27035591076127
168,5.75,6.75,0.5,1,0.3710253341874407,1.396978608617534,1.9049917999691977,1.2942625349884764
169,5.75,7.25,0.5,1,0.35855045471594027,1.4114370382441161,1.9175478228953045,1.2919813989949527
170,5.75,7.75,0.5,1,0.37207048749002347,1.4091533391404525,1.9454887773707321,1.2835205501059719
171,5.75,8.25,0.5,1,0.38106776175395746,1.3840835476541324,1.9621452595110758,1.255132141250908
172,5.75,8.75,0.5,1,0.3844635038875468,1.3174897225020021,1.9293707258811577,1.243218392984017
173,6.25,0.25,0.5,4,0.5164171020415518,1.1708684338390067,2.1431951788140657,1.1857913515549838
174,6.25,0.75,0.5,4,0.4712191011383568,1.1665090099776234,2.1619588119959667,1.179385183904534
175,6.25,1.25,0.5,4,0.4750926410724776,1.1841936608547994,2.1834074038200164,1.1941937114490708
176,6.25,1.75,0.5,4,0.4618136144913355,1.1952318322924729,2.1866222504433943,1.1978184061250525
177,6.25,2.25,0.5,4,0.45619186448354254,1.1774582902971524,2.1769232469395963,1.1565972051158095
178,6.25,2.75,0.5,4,0.4530563708832269,1.1836375236811678,2.1382112386363605,1.1857261228649283
179,6.25,3.25,0.5,4,0.45625762417946436,1.2119273168659526,2.0988920886705396,1.2248446213967117
180,6.25,3.75,0.5,4,0.4503782230947522,1.2012038045592914,2.0788177379446133,1.1946711723881358
181,6.25,4.25,0.5,4,0.4521670385129258,1.199793236018769,2.0792414020258576,1.1982494254384557
182,6.25,4.75,0.5,4,0.4575494308249357,1.2066702037643933,2.075332099716724,1.2006977626673685
183,6.25,5.25,0.5,4,0.45753311220435944,1.1516578232632098,2.0143342130937754,1.1670068855657036
184,6.25,5.75,0.5,1,0.3886424848858371,1.5344478875482033,1.9267246172456862,1.3077867935094665
185,6.25,6.25,0.5,1,0.4109915118380562,1.6007461066543465,1.9132579384557749,1.3178761157747514
186,6.25,6.75,0.5,1,0.46226673629672144,1.6459860492530571,2.0413224531400775,1.3476956578504629
187,6.25,7.25,0.5,1,0.4066369282852919,1.5433320044941727,1.9908327110404356,1.3289734259721555
188,6.25,7.75,0.5,1,0.39259444800486176,1.5054216869973176,1.9683776103407578,1.2987634447200895
189,6.25,8.25,0.5,1,0.3967686042584643,1.4324557512763456,1.9591442496895395,1.2536630594253078
190,6.25,8.75,0.5,1,0.38795325523307633,1.335815166935223,1.9155004192203278,1.23057300762984
191,6.75,0.25,0.5,4,0.5068948261885232,1.1718658565346465,2.126934048974742,1.162833146129398
192,6.75,0.75,0.5,4,0.46607621293189094,1.1587873135697968,2.1495805379612203,1.1730622973349896
193,6.75,1.25,0.5,4,0.47671101576067504,1.1696916778560837,2.1714447149492866,1.1826726015861129
194,6.75,1.75,0.5,4,0.47869991173211274,1.1871426817051849,2.167950098575317,1.1866028540811928
195,6.75,2.25,0.5,4,0.4905362853576532,1.1837183433199128,2.146615418099279,1.1460229094382344
196,6.75,2.75,0.5,4,0.48240166951215935,1.1791547080830342,2.1033016734669454,1.1430754191844386
197,6.75,3.25,0.5,4,0.46520794891193123,1.1698482407340023,2.0606464476440634,1.1611380191671679
198,6.75,3.75,0.5,4,0.45376405863508135,1.1408067108211482,2.0153427934347325,1.1426949607299834
199,6.75,4.25,0.5,4,0.46066436253754417,1.1345141483897196,1.9995441505549498,1.1490469975252675
200,6.75,4.75,0.5,4,0.45425632118996684,1.1283190486649717,1.9948848074417755,1.150257342839438
201,6.75,5.25,0.5,4,0.4593302063345454,1.104792726515994,1.991806531639148,1.135126636603406
202,6.75,5.75,0.5,1,0.37276562170676014,1.5432255284241727,1.8997416288803521,1.2999219341264376
203,6.75,6.25,0.5,1,0.41852036824869865,1.7312805318913629,1.9261374155264108,1.2929049177280318
204,6.75,8.25,0.5,1,0.46470632377615123,1.7840884742927685,1.9701383671607453,1.2460823216322945
205,6.75,8.75,0.5,1,0.3852973113963149,1.3680309439245788,1.9070244047333156,1.2289564401522157
206,7.25,0.25,0.5,4,0.5128240655587384,1.1703829092190878,2.1160383988318054,1.1458131294589007
207,7.25,0.75,0.5,4,0.4614861650981803,1.1458177281873698,2.1432209789203123,1.1612463035867044
208,7.25,1.25,0.5,4,0.4658639598293824,1.1490903363487996,2.1676688910139132,1.1595709256695403
209,7.25,1.75,0.5,4,0.44217190064308187,1.1502502744751328,2.1679066474169764,1.1712491406806211
210,7.25,2.25,0.5,4,0.4421910201192355,1.148395957618862,2.1673932230787147,1.1559787847342058
211,7.25,2.75,0.5,4,0.4524634740652033,1.1503785303722889,2.190745557477338,1.1296566101339127
212,7.25,3.25,0.5,4,0.46881575918876783,1.1282980426385962,2.3305059301538176,1.0699828801735969
213,7.25,3.75,0.5,4,0.49654467628490684,1.0781251588672367,2.7668354839230314,1.0441929224167403
214,7.25,4.25,0.5,4,0.47472792072699593,1.0759461349469468,2.863124258900685,1.1036431188025755
215,7.25,4.75,0.5,4,0.5440503073647333,1.0529243759866105,3.173080232213594,1.0922238271104334
216,7.25,5.25,0.5,4,0.5040145460081997,1.0828595615443064,2.6473824556189265,1.10524225913651
217,7.25,5.75,0.5,1,0.35565381280104286,1.5354798421830318,1.9040584775820397,1.2754480414222589
218,7.25,6.25,0.5,1,0.406252925336362,1.7512966470742946,1.9506478731515837,1.3207997592667582
